Income,Credit_Score,Loan_Amount,Loan_Term,Age,Employment_Years,Gender,Married,Education,Self_Employed,Property_Area,Existing_EMI,Loan_Status
21278,660,178393,48,28,7,Male,No,Graduate,Yes,Urban,1739,Approved
117458,601,416026,120,21,1,Female,No,Graduate,No,Urban,6078,Approved
67615,560,339428,60,28,8,Female,Yes,Not Graduate,Yes,Urban,18965,Rejected
66520,701,159842,60,31,1,Male,Yes,Graduate,No,Semiurban,17691,Approved
22207,681,260325,60,35,14,Female,Yes,Graduate,No,Rural,30071,Rejected
70350,705,164987,36,58,9,Female,Yes,Not Graduate,No,Urban,10484,Approved
19504,578,407412,240,56,6,Female,Yes,Graduate,No,Urban,17261,Rejected
97818,621,130131,84,53,0,Male,Yes,Graduate,No,Urban,23788,Approved
113932,768,86287,240,26,6,Female,Yes,Graduate,No,Urban,13880,Approved
75422,784,286708,24,44,3,Male,,Graduate,Yes,Semiurban,14432,Rejected
49195,662,400737,180,53,6,Female,Yes,Not Graduate,No,Urban,6352,Approved
25944,726,431793,84,27,7,Male,Yes,Graduate,No,Urban,12025,Approved
,796,57737,24,24,4,Male,No,Graduate,No,Urban,3842,Approved
104752,769,131158,48,56,2,Female,Yes,Not Graduate,No,Semiurban,20552,Rejected
42356,555,361969,24,26,4,Male,Yes,Graduate,Yes,Urban,34261,Rejected
77929,681,444193,24,40,3,Male,No,Graduate,No,Urban,13969,Approved
89200,674,370695,240,49,13,Female,Yes,Not Graduate,Yes,Urban,7014,Approved
84244,770,181659,12,37,6,Male,No,Not Graduate,,Urban,8573,Approved
108573,596,336046,12,25,5,Male,No,Graduate,No,Rural,2614,Approved
99351,599,174118,36,47,1,Male,No,Graduate,No,Urban,26982,Approved
79694,633,154633,180,23,1,Male,Yes,Graduate,No,Urban,4549,Approved
33118,653,143620,360,22,2,Female,Yes,Graduate,No,Semiurban,20557,Rejected
18221,786,332303,48,48,4,Female,No,Graduate,Yes,Rural,33234,Rejected
106777,609,372707,360,45,7,Female,No,Graduate,Yes,Urban,28173,Approved
104356,563,198785,240,31,3,Male,Yes,Graduate,No,Urban,1600,Rejected
43485,716,309196,120,57,1,Male,Yes,Graduate,Yes,Semiurban,6985,Approved
77829,588,293606,240,28,8,Female,No,Not Graduate,No,Rural,31108,Rejected
53992,745,90623,60,36,5,Male,No,Graduate,No,Urban,9884,Approved
26161,625,270276,120,47,10,Male,No,Graduate,No,Urban,25558,Rejected
81993,632,193096,120,35,3,Female,Yes,Graduate,No,Semiurban,10816,Approved
29003,739,121145,180,22,2,Female,,Graduate,No,Rural,18235,Rejected
47389,555,391707,12,43,8,Male,Yes,Graduate,Yes,Urban,8272,Approved
119946,603,213073,24,28,0,Female,No,Not Graduate,No,Semiurban,15915,Approved
63508,792,274593,84,23,1,Male,No,Graduate,No,Semiurban,28411,Approved
98728,795,303491,180,38,0,Female,,Not Graduate,No,Urban,29543,Approved
81904,628,236030,60,32,8,Female,No,Not Graduate,No,Urban,665,Approved
102659,771,284972,12,51,8,Male,No,Graduate,No,Semiurban,22528,Approved
112540,618,215438,24,28,7,Male,Yes,Graduate,No,Semiurban,34382,Approved
34591,660,73863,12,55,0,Male,No,Graduate,Yes,Urban,31373,Approved
82454,557,352525,12,46,3,Male,Yes,Not Graduate,No,Urban,16265,Rejected
76028,,358556,120,49,4,Male,Yes,Graduate,No,Urban,15719,Approved
55762,664,418567,180,35,11,Male,Yes,Not Graduate,No,Semiurban,12964,Approved
58319,824,442669,360,31,9,Female,No,Graduate,,Semiurban,32361,Approved
106381,814,357821,12,35,3,Female,Yes,Not Graduate,No,Semiurban,28981,Approved
71523,690,218326,24,43,8,Female,No,Graduate,No,Semiurban,2404,Approved
104200,797,292208,120,21,1,Male,Yes,Graduate,No,Semiurban,28969,Approved
21783,831,175460,36,28,5,Female,Yes,Graduate,No,Urban,7698,Approved
79894,644,289487,240,51,6,Male,No,Graduate,No,Semiurban,8946,Approved
55072,672,357724,360,21,1,Male,No,Graduate,No,Semiurban,24720,Rejected
,682,440439,180,47,5,Female,No,Not Graduate,No,Semiurban,9968,Rejected
31069,789,289561,12,49,5,Male,Yes,Graduate,No,Urban,26049,Approved
88912,538,373726,24,52,1,Male,No,Not Graduate,,Urban,6451,Rejected
25355,670,237938,84,41,3,Female,Yes,Graduate,Yes,Rural,15783,Rejected
55700,799,132824,24,50,7,Female,No,Not Graduate,No,Rural,16390,Approved
93341,671,416623,60,43,13,Female,No,Graduate,No,Semiurban,3214,Approved
