date,temperature,humidity,rainfall,wind
2023-01-01,22,65,0,12
2023-01-02,23,60,0,14
2023-01-03,21,70,5,10
2023-01-04,24,55,0,16
2023-01-05,25,50,0,18
2023-01-06,26,48,0,20
2023-01-07,27,45,0,22
2023-01-08,28,40,0,19
2023-01-09,29,38,0,17
2023-01-10,30,35,0,15
2023-01-11,31,33,0,13
2023-01-12,32,30,0,12
2023-01-13,30,32,2,14
2023-01-14,29,36,10,16
2023-01-15,28,42,15,18
2023-02-01,26,50,20,20
2023-02-02,27,52,18,21
2023-02-03,28,48,10,19
2023-02-04,29,45,5,17
2023-02-05,30,40,0,15
2023-02-06,31,38,0,14
2023-02-07,32,35,0,12
2023-02-08,33,33,0,11
2023-02-09,34,30,0,10
2023-02-10,35,28,0,9
2023-03-01,36,25,0,8
2023-03-02,37,22,0,7
2023-03-03,38,20,0,6
2023-03-04,39,18,0,5
2023-03-05,40,15,0,4
2023-03-06,41,14,0,6
2023-03-07,42,12,0,7
2023-03-08,43,10,0,8
2023-03-09,44,9,0,9
2023-03-10,45,8,0,10
