date,temperature,humidity,rainfall,wind,temperature_7-day,temperature_30-day,humidity_7-day,humidity_30-day,rainfall_7-day,rainfall_30-day,wind_7-day,wind_30-day
2023-01-01,22,65,0,12,22.0,22.0,65.0,65.0,0.0,0.0,12.0,12.0
2023-01-02,23,60,0,14,22.5,22.5,62.5,62.5,0.0,0.0,13.0,13.0
2023-01-03,21,70,5,10,22.0,22.0,65.0,65.0,1.6666666666666667,1.6666666666666667,12.0,12.0
2023-01-04,24,55,0,16,22.5,22.5,62.5,62.5,1.25,1.25,13.0,13.0
2023-01-05,25,50,0,18,23.0,23.0,60.0,60.0,1.0,1.0,14.0,14.0
2023-01-06,26,48,0,20,23.5,23.5,58.0,58.0,0.8333333333333334,0.8333333333333334,15.0,15.0
2023-01-07,27,45,0,22,24.0,24.0,56.142857142857146,56.142857142857146,0.7142857142857143,0.7142857142857143,16.0,16.0
2023-01-08,28,40,0,19,24.857142857142858,24.5,52.57142857142857,54.125,0.7142857142857143,0.625,17.0,16.375
2023-01-09,29,38,0,17,25.714285714285715,25.0,49.42857142857143,52.333333333333336,0.7142857142857143,0.5555555555555556,17.428571428571427,16.444444444444443
2023-01-10,30,35,0,15,27.0,25.5,44.42857142857143,50.6,0.0,0.5,18.142857142857142,16.3
2023-01-11,31,33,0,13,28.0,26.0,41.285714285714285,49.0,0.0,0.45454545454545453,17.714285714285715,16.0
2023-01-12,32,30,0,12,29.0,26.5,38.42857142857143,47.416666666666664,0.0,0.4166666666666667,16.857142857142858,15.666666666666666
2023-01-13,30,32,2,14,29.571428571428573,26.76923076923077,36.142857142857146,46.23076923076923,0.2857142857142857,0.5384615384615384,16.0,15.538461538461538
2023-01-14,29,36,10,16,29.857142857142858,26.928571428571427,34.857142857142854,45.5,1.7142857142857142,1.2142857142857142,15.142857142857142,15.571428571428571
2023-01-15,28,42,15,18,29.857142857142858,27.0,35.142857142857146,45.266666666666666,3.857142857142857,2.1333333333333333,15.0,15.733333333333333
2023-02-01,26,50,20,20,29.428571428571427,26.9375,36.857142857142854,45.5625,6.714285714285714,3.25,15.428571428571429,16.0
2023-02-02,27,52,18,21,29.0,26.941176470588236,39.285714285714285,45.94117647058823,9.285714285714286,4.117647058823529,16.285714285714285,16.294117647058822
2023-02-03,28,48,10,19,28.571428571428573,27.0,41.42857142857143,46.05555555555556,10.714285714285714,4.444444444444445,17.142857142857142,16.444444444444443
2023-02-04,29,45,5,17,28.142857142857142,27.105263157894736,43.57142857142857,46.0,11.428571428571429,4.473684210526316,17.857142857142858,16.473684210526315
2023-02-05,30,40,0,15,28.142857142857142,27.25,44.714285714285715,45.7,11.142857142857142,4.25,18.0,16.4
2023-02-06,31,38,0,14,28.428571428571427,27.428571428571427,45.0,45.333333333333336,9.714285714285714,4.0476190476190474,17.714285714285715,16.285714285714285
2023-02-07,32,35,0,12,29.0,27.636363636363637,44.0,44.86363636363637,7.571428571428571,3.8636363636363638,16.857142857142858,16.09090909090909
2023-02-08,33,33,0,11,30.0,27.869565217391305,41.57142857142857,44.34782608695652,4.714285714285714,3.6956521739130435,15.571428571428571,15.869565217391305
2023-02-09,34,30,0,10,31.0,28.125,38.42857142857143,43.75,2.142857142857143,3.5416666666666665,14.0,15.625
2023-02-10,35,28,0,9,32.0,28.4,35.57142857142857,43.12,0.7142857142857143,3.4,12.571428571428571,15.36
2023-03-01,36,25,0,8,33.0,28.692307692307693,32.714285714285715,42.42307692307692,0.0,3.269230769230769,11.285714285714286,15.076923076923077
2023-03-02,37,22,0,7,34.0,29.0,30.142857142857142,41.666666666666664,0.0,3.1481481481481484,10.142857142857142,14.777777777777779
2023-03-03,38,20,0,6,35.0,29.321428571428573,27.571428571428573,40.892857142857146,0.0,3.0357142857142856,9.0,14.464285714285714
2023-03-04,39,18,0,5,36.0,29.655172413793103,25.142857142857142,40.10344827586207,0.0,2.9310344827586206,8.0,14.137931034482758
2023-03-05,40,15,0,4,37.0,30.0,22.571428571428573,39.266666666666666,0.0,2.8333333333333335,7.0,13.8
2023-03-06,41,14,0,6,38.0,30.633333333333333,20.285714285714285,37.56666666666667,0.0,2.8333333333333335,6.428571428571429,13.6
2023-03-07,42,12,0,7,39.0,31.266666666666666,18.0,35.96666666666667,0.0,2.8333333333333335,6.142857142857143,13.366666666666667
2023-03-08,43,10,0,8,40.0,32.0,15.857142857142858,33.96666666666667,0.0,2.6666666666666665,6.142857142857143,13.3
2023-03-09,44,9,0,9,41.0,32.666666666666664,14.0,32.43333333333333,0.0,2.6666666666666665,6.428571428571429,13.066666666666666
2023-03-10,45,8,0,10,42.0,33.333333333333336,12.285714285714286,31.033333333333335,0.0,2.6666666666666665,7.0,12.8
