date,region,product,sales,cost,profit,profit_margin,month
2024-01-05,North,Laptop,1200,900,300,1.3333333333333333,2024-01
2024-01-07,South,Mouse,25,10,15,2.5,2024-01
2024-01-10,East,Keyboard,75,40,35,1.875,2024-01
2024-01-12,West,Monitor,300,200,100,1.5,2024-01
2024-02-02,North,Mouse,30,12,18,2.5,2024-02
2024-02-05,South,Laptop,1250,920,330,1.358695652173913,2024-02
2024-02-11,East,Monitor,280,190,90,1.4736842105263157,2024-02
2024-02-18,West,Keyboard,70,35,35,2.0,2024-02
2024-03-03,North,Monitor,310,210,100,1.4761904761904763,2024-03
2024-03-06,South,Keyboard,80,45,35,1.7777777777777777,2024-03
2024-03-09,East,Laptop,1300,950,350,1.368421052631579,2024-03
2024-03-15,West,Mouse,28,11,17,2.5454545454545454,2024-03
2024-04-01,North,Laptop,1180,880,300,1.3409090909090908,2024-04
2024-04-05,South,Monitor,295,205,90,1.4390243902439024,2024-04
2024-04-09,East,Mouse,27,10,17,2.7,2024-04
2024-04-12,West,Keyboard,85,50,35,1.7,2024-04
2024-05-02,North,Keyboard,90,55,35,1.6363636363636365,2024-05
2024-05-07,South,Mouse,32,14,18,2.2857142857142856,2024-05
2024-05-15,East,Monitor,320,215,105,1.4883720930232558,2024-05
2024-05-20,West,Laptop,1350,1000,350,1.35,2024-05
