date,region,product,sales,cost
2024-01-05,North,Laptop,1200,900
2024-01-07,South,Mouse,25,10
2024-01-10,East,Keyboard,75,40
2024-01-12,West,Monitor,300,200
2024-02-02,North,Mouse,30,12
2024-02-05,South,Laptop,1250,920
2024-02-11,East,Monitor,280,190
2024-02-18,West,Keyboard,70,35
2024-03-03,North,Monitor,310,210
2024-03-06,South,Keyboard,80,45
2024-03-09,East,Laptop,1300,950
2024-03-15,West,Mouse,28,11
2024-04-01,North,Laptop,1180,880
2024-04-05,South,Monitor,295,205
2024-04-09,East,Mouse,27,10
2024-04-12,West,Keyboard,85,50
2024-05-02,North,Keyboard,90,55
2024-05-07,South,Mouse,32,14
2024-05-15,East,Monitor,320,215
2024-05-20,West,Laptop,1350,1000
