student_id,math_score,english_score,science_score,final_score,study_hours,days_present,days_total,age,attendance_rate,gender_M,region_Urban,parent_education_Graduate,parent_education_HighSchool,parent_education_Illiterate,parent_education_Postgraduate
S001,78,74,80,77.0,2.5,160,180,17,0.8888888888888888,True,True,True,False,False,False
S002,55,60,58,58.0,1.0,120,180,16,0.6666666666666666,False,False,False,True,False,False
S003,93,88,90,90.0,4.0,175,180,17,0.9722222222222222,True,True,False,False,False,True
S004,69,67,42,60.0,0.8,100,180,18,0.5555555555555556,False,False,False,False,True,False
S005,77,78,79,78.0,2.0,133,180,16,0.7388888888888889,True,True,True,False,False,False
S006,45,48,51,48.0,0.5,150,180,17,0.8333333333333334,False,True,True,False,False,False
S007,98,88,93,93.0,4.5,170,180,19,0.9444444444444444,True,True,False,False,False,True
S008,81,77,85,81.0,4.0,177,180,15,0.9833333333333333,False,False,False,True,False,False
S009,21,33,45,35.625,1.0,80,180,17,0.4444444444444444,True,False,False,True,False,False
S010,59,65,62,62.0,2.0,125,180,17,0.6944444444444444,False,True,False,False,False,True
S011,66,68,70,68.0,3.0,135,180,16,0.75,True,False,False,False,True,False
S012,71,75,73,73.0,3.0,145,180,15,0.8055555555555556,False,True,True,False,False,False
S013,45,60,62,56.0,2.0,105,180,17,0.5833333333333334,True,False,False,False,False,False
S014,81,78,75,78.0,3.5,155,180,18,0.8611111111111112,False,True,True,False,False,False
S015,59,65,62,62.0,1.0,120,180,17,0.6666666666666666,True,True,True,False,False,False
S016,82,81,83,82.0,3.0,160,180,17,0.8888888888888888,False,True,False,False,False,True
S017,54,70,62,62.0,2.5,150,180,17,0.8333333333333334,True,False,False,True,False,False
S018,67,67,67,67.0,6.4375,180,180,18,1.0,False,False,False,False,True,False
S019,61,66,71,66.0,2.7,145,180,16,0.8055555555555556,True,True,True,False,False,False
S020,91,89,93,91.0,4.0,170,180,18,0.9444444444444444,False,True,False,False,False,True
