student_id,math_score,english_score,science_score,final_score,study_hours,days_present,days_total,gender,age,region,parent_education,attendance_rate
S001,78,74,80,77.0,2.5,160,180,M,17,Urban,Graduate,0.8888888888888888
S002,55,60,58,58.0,1.0,120,180,F,16,Rural,HighSchool,0.6666666666666666
S003,93,88,90,90.0,4.0,175,180,M,17,Urban,Postgraduate,0.9722222222222222
S004,69,67,42,60.0,0.8,100,180,F,18,Rural,Illiterate,0.5555555555555556
S005,77,78,79,78.0,2.0,133,180,M,16,Urban,Graduate,0.7388888888888889
S006,45,48,51,48.0,0.5,150,180,F,17,Urban,Graduate,0.8333333333333334
S007,98,88,93,93.0,4.5,170,180,M,19,Urban,Postgraduate,0.9444444444444444
S008,81,77,85,81.0,4.0,177,180,F,15,Rural,HighSchool,0.9833333333333333
S009,21,33,45,35.625,1.0,80,180,M,17,Rural,HighSchool,0.4444444444444444
S010,59,65,62,62.0,2.0,125,180,F,17,Urban,Postgraduate,0.6944444444444444
S011,66,68,70,68.0,3.0,135,180,M,16,Rural,Illiterate,0.75
S012,71,75,73,73.0,3.0,145,180,F,15,Urban,Graduate,0.8055555555555556
S013,45,60,62,56.0,2.0,105,180,M,17,Rural,Gone for Milk,0.5833333333333334
S014,81,78,75,78.0,3.5,155,180,F,18,Urban,Graduate,0.8611111111111112
S015,59,65,62,62.0,1.0,120,180,M,17,Urban,Graduate,0.6666666666666666
S016,82,81,83,82.0,3.0,160,180,F,17,Urban,Postgraduate,0.8888888888888888
S017,54,70,62,62.0,2.5,150,180,M,17,Rural,HighSchool,0.8333333333333334
S018,67,67,67,67.0,6.4375,180,180,F,18,Rural,Illiterate,1.0
S019,61,66,71,66.0,2.7,145,180,M,16,Urban,Graduate,0.8055555555555556
S020,91,89,93,91.0,4.0,170,180,F,18,Urban,Postgraduate,0.9444444444444444
